Nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
24.0,30.0,11,"32,39523995°C","94,51768464%","6,601395755","113,25373",orange
9.0,60.0,23,"31,96987867°C","57,17377029%","6,276004336","64,25520357",mothbeans
19.0,7.0,9,"27,255435°C","91,71369387%","6,969883483","101,139435",orange
4.0,14.0,41,"19,85139326°C","89,80732335%","6,430163481","102,8186358",pomegranate
16.0,145.0,199,"26,91624843°C","80,76838926%","5,953966361","69,30927185",grapes
40.0,121.0,199,"26,18159716°C","81,03886263%","6,315586313","66,05911698",grapes
60.0,68.0,83,"19,12065218°C","18,43475844%","6,620900869","85,52950164",chickpea
81.0,40.0,45,"25,7629429°C","80,76238215%","6,427726565","174,5071843",jute
106.0,49.0,24,"23,03887865°C","76,47039772%","6,983395573","90,64770699",cotton
60.0,55.0,40,"24,9949957°C","88,95692783%","7,02777956","151,4935635",jute
112.0,28.0,54,"24,86094646°C","85,05318563%","6,738030547","55,29563514",watermelon
17.0,58.0,20,"28,06642822°C","85,91625451%","6,42937879","39,23831035",mungbean
50.0,55.0,16,"28,81460716°C","65,33538112%","7,581442888","62,26242533",blackgram
111.0,5.0,55,"26,283443°C","84,42478917%","6,520663422","50,78669728",watermelon
19.0,122.0,202,"23,34467359°C","90,37981478%","5,811975094","112,8954016",apple
39.0,77.0,21,"22,99774444°C","60,24218572%","4,603563116","159,689339",pigeonpeas
35.0,135.0,199,"21,77466746°C","80,54942557%","6,400719746","69,39630398",grapes
13.0,121.0,196,"22,20700989°C","93,50574163%","6,443382913","120,1593771",apple
7.0,40.0,17,"31,2123945°C","40,92604945%","8,532078733","53,78769958",mothbeans
31.0,137.0,196,"22,14464104°C","93,82567435%","6,400321212","120,6310784",apple
34.0,16.0,25,"30,07202564°C","50,96040505%","6,10729559","92,09609766",mango
31.0,48.0,45,"40,78881819°C","92,90951393%","6,563134737","132,7923586",papaya
4.0,40.0,26,"27,58258929°C","48,56916221%","6,720041791","95,8445641",mango
9.0,76.0,25,"28,88302142°C","50,12323801%","5,70951224","179,2155874",pigeonpeas
24.0,38.0,22,"24,47876451°C","58,51663927%","8,202706015","34,96933295",mothbeans
42.0,73.0,25,"34,03679184°C","67,21113844%","6,501869314","73,23573601",blackgram
10.0,59.0,22,"28,60901145°C","86,99495766%","7,155685016","36,94616965",mungbean
27.0,72.0,17,"28,98039357°C","57,23265151%","6,347929353","120,7435664",pigeonpeas
52.0,63.0,19,"29,58949031°C","68,32176769%","6,928898659","67,53021213",blackgram
30.0,30.0,35,"25,00872392°C","95,59224018%","6,001936419","165,8092179",coconut
131.0,56.0,20,"22,00817088°C","81,83896111%","7,762647875","92,23645249",cotton
33.0,14.0,35,"27,14865285°C","96,66355213%","6,027707171","149,2433497",coconut
80.0,77.0,49,"26,05433004°C","79,39654531%","5,519088423","113,2297373",banana
57.0,57.0,51,"39,01793345°C","91,48815629%","6,99223441","105,8841531",papaya
101.0,25.0,52,"29,09910406°C","94,22237826%","6,750145572","22,52497327",muskmelon
12.0,58.0,23,"21,74600081°C","63,39503184%","6,765091462","50,43306085",lentil
69.0,57.0,35,"24,30748599°C","78,54340987%","6,186814392","186,2337571",jute
40.0,45.0,18,"30,43683729°C","55,20522037%","5,261285926","30,92014047",mothbeans
30.0,63.0,16,"23,60506572°C","21,90539577%","5,525904526","100,5978728",kidneybeans
80.0,45.0,42,"23,1426498°C","74,99739774%","7,380396262","151,9035477",jute
1.0,59.0,23,"27,46852989°C","87,17649%","7,184398832","43,78420984",mungbean
52.0,70.0,16,"33,66855394°C","66,60416867%","7,534811833","67,32520551",blackgram
127.0,53.0,24,"22,21506982°C","76,17851932%","6,127939628","70,40557612",cotton
63.0,41.0,45,"25,29781791°C","86,8870535%","7,121933579","196,6249511",jute
39.0,28.0,10,"31,34920143°C","91,48247612%","7,181907673","109,1549823",orange
32.0,68.0,52,"32,68067385°C","92,61715632%","6,800321319","248,8592986",papaya
8.0,6.0,33,"28,27804288°C","93,64761266%","6,095261013","171,9457959",coconut
42.0,79.0,85,"17,22385224°C","15,82069268%","6,129533877","76,57580954",chickpea
60.0,58.0,37,"26,13871511°C","79,1188943%","6,067302109","171,4892533",jute
36.0,80.0,21,"33,64769646°C","48,41490082%","7,066087261","100,4673278",pigeonpeas
86.0,55.0,21,"21,54156232°C","59,64024162%","6,803931519","109,7515385",maize
10.0,24.0,27,"27,57283516°C","94,90485697%","5,708409601","145,9298935",coconut
18.0,79.0,20,"20,27514686°C","23,2353604%","5,877347515","139,7521543",kidneybeans
84.0,37.0,42,"25,49674786°C","81,13449097%","6,691074249","169,9288234",jute
3.0,67.0,24,"17,00067625°C","19,90790546%","5,520880014","103,2926407",kidneybeans
21.0,26.0,27,"27,00315545°C","47,67525434%","5,699586972","95,85118326",mango
118.0,21.0,34,"24,38534644°C","64,72543073%","7,234258375","119,6324109",coffee
25.0,57.0,24,"27,65472156°C","58,59986279%","6,974978386","36,94255012",mothbeans
40.0,70.0,20,"31,80130272°C","45,03186173%","5,623490043","147,0361442",pigeonpeas
36.0,56.0,20,"25,4123765°C","49,66474269%","7,437078236","31,87416982",mothbeans
6.0,64.0,23,"23,33565221°C","67,40460704%","7,065264073","36,18678721",lentil
76.0,51.0,18,"26,16985907°C","71,96246617%","6,247040422","79,84925393",maize
88.0,17.0,52,"29,90415889°C","90,75284363%","6,646962425","25,37828397",muskmelon
33.0,57.0,17,"27,89636126°C","88,71782287%","6,78415271","57,79863368",mungbean
66.0,47.0,36,"24,85441411°C","74,4407048%","6,57256106","175,572958",jute
11.0,6.0,25,"28,69164799°C","96,65248672%","6,081568052","178,9635457",coconut
23.0,75.0,17,"24,87425505°C","64,00213929%","7,198076286","48,28137482",lentil
28.0,136.0,200,"23,06204373°C","92,39544055%","6,245858905","114,7399101",apple
84.0,40.0,43,"25,01157559°C","88,3313023%","7,228268228","169,4168014",jute
29.0,76.0,15,"28,5417236°C","64,2020154%","7,025607706","69,68862306",blackgram
97.0,12.0,47,"25,28784623°C","89,63667876%","6,765094964","58,28697664",watermelon
18.0,66.0,22,"25,87990287°C","67,55109024%","6,347379185","47,89645224",lentil
33.0,23.0,45,"20,00218987°C","85,83618191%","7,116538883","112,337046",pomegranate
14.0,18.0,30,"29,80747243°C","52,13797867%","5,191265116","95,74606104",mango
9.0,141.0,202,"21,01245395°C","81,17931863%","6,119495295","66,38448261",grapes
26.0,68.0,24,"28,04849594°C","64,07691942%","7,504930973","37,15824966",lentil
2.0,24.0,34,"28,89409382°C","54,80750249%","6,472774648","94,76322976",mango
19.0,79.0,19,"20,06003985°C","67,76252583%","6,677262562","42,89509057",lentil
86.0,59.0,35,"25,78720567°C","82,11124033%","6,946636369","243,5120414",rice
20.0,60.0,25,"27,3254209°C","69,09047809%","6,726469088","61,19250859",blackgram
119.0,30.0,28,"26,35770906°C","64,57578034%","6,505203696","163,6269496",coffee
38.0,21.0,35,"20,33691147°C","89,38003827%","5,841367187","110,9653137",pomegranate
108.0,88.0,55,"26,28845991°C","83,390039%","5,891458107","113,8729798",banana
18.0,55.0,23,"21,9989826°C","56,31006755%","6,98571967","136,8274312",pigeonpeas
37.0,72.0,18,"18,87614998°C","24,54038287%","5,724242065","105,4120514",kidneybeans
79.0,59.0,17,"20,37999665°C","63,73849998%","6,644205485","108,5054416",maize
27.0,59.0,22,"21,81167649°C","23,20591245%","5,794158504","130,0608093",kidneybeans
55.0,66.0,22,"30,91219459°C","68,79427388%","7,747775263","66,63830637",blackgram
22.0,26.0,38,"22,92052307°C","85,12912161%","6,988035315","110,2437841",pomegranate
31.0,29.0,35,"27,1872282°C","92,19906776%","6,137102505","141,3220576",coconut
11.0,40.0,23,"29,61253065°C","63,04749127%","5,80428611","50,1978269",mothbeans
84.0,27.0,29,"23,32293161°C","53,00366334%","7,167092586","168,2644287",coffee
21.0,21.0,38,"22,5526059°C","89,3259486%","6,327673765","104,8955643",Pomegranate
47.0,46.0,52,"23,19451074°C","91,40301608%","6,502289473","206,3999208",papaya
39.0,60.0,15,"35,09357419°C","30,98685456%","5,004074624","116,9106908",pigeonpeas
26.0,18.0,42,"19,72620525°C","89,64934166%","6,910374919","108,2287276",Pomegranate
15.0,54.0,15,"29,97604322°C","57,03184356%","8,35495812","44,86052932",mothbeans
42.0,61.0,22,"26,27274407°C","62,28814857%","7,418650668","70,23207557",blackgram
79.0,51.0,16,"25,33797709°C","68,49835977%","6,586244581","96,46380213",maize
3.0,72.0,24,"36,51268371°C","57,92887167%","6,03160778","122,6539694",pigeonpeas
37.0,50.0,23,"29,65296893°C","88,48587386%","6,5304707","56,01913159",mungbean
28.0,57.0,17,"30,47757686°C","61,58245338%","9,416003106","61,86633917",mothbeans
50.0,47.0,48,"24,63676897°C","90,61964344%","6,712772333","218,2299187",papaya
26.0,80.0,83,"17,08498521°C","16,14565756%","7,528599957","71,31007253",chickpea
19.0,65.0,25,"18,09551014°C","18,29318436%","5,625096446","144,7902323",kidneybeans
118.0,40.0,35,"26,35034208°C","58,50650238%","7,460174812","121,5586297",coffee
13.0,16.0,8,"34,74004942°C","93,12316972%","6,949838549","100,1967854",orange
22.0,144.0,196,"21,91191314°C","91,68748063%","6,499226821","117,0761277",apple
40.0,120.0,197,"23,80593812°C","92,48879468%","5,889480679","119,6335548",apple
105.0,74.0,45,"25,14517635°C","81,38204104%","6,098369122","119,218154",banana
118.0,15.0,45,"24,21495706°C","84,20576992%","6,538006356","48,01138482",watermelon
37.0,135.0,205,"11,82768186°C","80,2827185%","5,510924849","74,10225057",grapes
1.0,12.0,30,"27,754298°C","95,94643831%","5,56222383","131,0900076",coconut
11.0,10.0,45,"22,63045168°C","88,45577158%","6,397995609","109,0357597",Pomegranate
5.0,74.0,21,"16,24469193°C","21,35793891%","5,591704014","66,97053257",kidneybeans
105.0,88.0,54,"25,78749808°C","84,51194224%","6,020445317","114,2005455",banana
95.0,39.0,36,"23,86330467°C","83,15250801%","5,561398642","285,2493645",rice
35.0,57.0,83,"19,48316794°C","17,44534641%","7,476800943","80,4986291",chickpea
20.0,69.0,15,"23,44260668°C","22,77255917%","5,934136378","107,4137246",kidneybeans
24.0,18.0,6,"26,56608303°C","94,45239715%","6,285312759","116,3796525",orange
18.0,27.0,41,"22,36509395°C","92,30882391%","7,175344328","104,8216333",pomegranate
36.0,19.0,32,"27,10710832°C","50,70880979%","4,94295037","92,37238878",mango
60.0,36.0,43,"23,43121862°C","83,06310136%","5,286203711","219,9048349",
35.0,71.0,17,"29,89286629°C","66,35375127%","6,931924963","198,1403003",pigeonpeas
31.0,37.0,21,"27,23924995°C","86,404241%","6,713410626","37,31236904",mungbean
39.0,36.0,22,"29,34317422°C","60,50320928%","9,072011412","34,03335472",mothbeans
20.0,7.0,45,"18,90592319°C","89,24126808%","6,077886012","112,4750941",pomegranate
17.0,57.0,20,"28,50677929°C","45,20094476%","3,793575185","66,1761456",mothbeans
11.0,61.0,21,"18,62328774°C","23,02410338%","5,532100554","135,3378033",kidneybeans
10.0,70.0,19,"24,84918386°C","68,98088448%","7,272427638","41,61080544",lentil
30.0,61.0,18,"27,14911056°C","67,02664337%","6,157782589","52,50812701",lentil
102.0,45.0,16,"23,65629976°C","77,52425987%","7,2942193","74,8984994",cotton
95.0,57.0,41,"23,24925555°C","73,65346838%","6,434610995","184,7674863",jute
52.0,73.0,79,"17,25769499°C","18,74943955%","7,840339389","94,00287214",chickpea
8.0,120.0,196,"24,06679352°C","82,66396666%","6,053662544","69,81855775",grapes
49.0,69.0,82,"18,31561493°C","15,36143547%","7,26311855","81,78710463",chickpea
32.0,11.0,31,"25,06871967°C","93,31410447%","6,205931638","134,8419069",coconut
40.0,30.0,35,"20,89273273°C","91,07776977%","6,269663963","104,4407083",pomegranate
14.0,8.0,43,"21,92513945°C","94,46485312%","7,051654924","111,7162016",Pomegranate
87.0,25.0,46,"27,42711692°C","90,02696201%","6,379690748","21,7508774",muskmelon
27.0,63.0,19,"20,93409877°C","21,1893007%","5,562201934","133,1914419",kidneybeans
126.0,37.0,21,"25,84997269°C","84,16855231%","6,61448588","77,03421249",cotton
,44.0,24,"30,99256944°C","43,02151392%","8,0344125","58,27600682",mothbeans
20.0,7.0,9,"29,47741671°C","91,57802915%","7,129136941","111,1727497",orange
,30.0,30,"26,00175125°C","94,79998418%","6,331051715","209,540094",coconut
24.0,140.0,205,"12,087022°C","83,59398734%","5,93202852","68,66813363",grapes
86.0,31.0,35,"27,01207284°C","60,76645256%","6,485761419","191,4508931",coffee
95.0,75.0,50,"28,08166093°C","75,26429821%","5,623615687","118,2761894",banana
39.0,58.0,85,"17,88776475°C","15,40589717%","5,996932037","68,54932919",chickpea
13.0,72.0,21,"24,32116642°C","21,0278674%","5,821194486","60,27552528",kidneybeans
95.0,27.0,55,"28,47212559°C","91,21322065%","6,160414414","20,88620369",muskmelon
28.0,58.0,25,"27,4818649°C","62,04814951%","6,861640036","37,81123974",lentil
102.0,73.0,54,"26,4020227°C","84,41007614%","5,720726906","111,0162259",banana
59.0,60.0,84,"19,03025305°C","18,66725565%","7,690962338","94,70992037",chickpea
72.0,40.0,38,"20,41447029°C","82,20802629%","7,592490617","245,1511304",rice
107.0,34.0,32,"26,77463708°C","66,4132686%","6,78006386","177,7745075",coffee
8.0,38.0,32,"29,75150773°C","46,73723302%","4,981816523","91,405983",mango
118.0,45.0,23,"23,37044424°C","77,43198948%","7,977651226","71,67870701",cotton
3.0,69.0,23,"28,67408774°C","63,18832976%","7,299360767","42,96018627",lentil
26.0,67.0,24,"36,97794384°C","37,73992903%","5,642813116","161,4812963",pigeonpeas
100.0,46.0,18,"24,18586246°C","76,04203958%","6,431689506","69,08056728",cotton
21.0,80.0,20,"28,20667264°C","68,27085245%","7,350869792","64,32887142",blackgram
26.0,27.0,10,"28,06903173°C","92,91487288%","6,079998496","114,1339416",orange
25.0,68.0,19,"29,39982732°C","64,25510719%","7,108450121","67,47677295",blackgram
63.0,43.0,17,"19,28889933°C","65,47050802%","6,807487794","71,3195307",maize
22.0,51.0,16,"27,96583691°C","61,34900107%","8,639586199","70,10472076",mothbeans
120.0,8.0,46,"29,55657523°C","90,70937262%","6,732834334","28,36535596",muskmelon
1.0,30.0,29,"28,33333307°C","51,39586505%","6,434197756","91,67241761",mango
41.0,69.0,82,"20,02381489°C","16,63294455%","6,715587232","68,97806542",chickpea
110.0,15.0,48,"28,57819995°C","92,86597437%","6,212567211","27,5987178",muskmelon
112.0,54.0,15,"25,46228792°C","81,56641891%","6,175492306","76,88582484",cotton
0.0,55.0,22,"22,98666928°C","20,57940608%","5,916779289","143,8584938",kidneybeans
78.0,46.0,42,"23,09499564°C","78,45959697%","7,095413294","155,3851533",jute
,126.0,201,"11,36300891°C","80,03100049%","6,116982944","71,18289431",Grapes
20.0,19.0,35,"34,17719782°C","50,62161586%","6,113935087","98,00687989",mango
36.0,56.0,83,"18,89780215°C","19,76182946%","7,4526709","69,09512477",chickpea
78.0,35.0,44,"26,54348085°C","84,67353597%","7,072655622","183,6222657",rice
20.0,74.0,16,"36,04353699°C","43,61444121%","4,759490199","159,8938645",pigeonpeas
31.0,13.0,33,"29,69952329°C","95,21224392%","6,342463714","148,3003692",coconut
111.0,39.0,22,"22,60361557°C","80,3509046%","6,135025006","88,57395505",cotton
89.0,11.0,47,"29,78714005°C","94,65343534%","6,327822962","27,8659442",muskmelon
24.0,56.0,85,"18,19903647°C","17,41333199%","6,545888558","80,6405403",chickpea
12.0,19.0,31,"27,25373364°C","52,66319725%","5,566704378","91,87312479",mango
19.0,38.0,26,"31,48451729°C","48,77926304%","4,525722333","93,17221967",mango
66.0,44.0,20,"19,0781471°C","69,02298571%","6,740000688","80,72515943",maize
34.0,80.0,19,"31,49338309°C","63,0563645%","6,521217963","71,48327008",blackgram
35.0,64.0,15,"28,47442276°C","63,53604453%","6,500144962","69,5274407",blackgram
91.0,84.0,52,"29,14827211°C","78,71024836%","6,390741836","117,536781",banana
120.0,24.0,47,"26,98603693°C","89,4138489%","6,260838965","58,54876687",watermelon
61.0,51.0,51,"39,30050027°C","94,16193416%","6,574677594","120,9512466",papaya
94.0,91.0,51,"29,16093424°C","76,67484233%","5,618094446","109,575944",banana
32.0,130.0,196,"40,66012294°C","81,24995984%","6,372959542","74,03030056",grapes
20.0,72.0,19,"32,47648301°C","64,34848735%","7,397190844","65,820457",blackgram
61.0,53.0,43,"26,40323239°C","81,05635517%","6,349606327","223,3671883",rice
2.0,140.0,197,"22,69780133°C","92,82223419%","5,53456749","105,0508234",apple
113.0,6.0,52,"27,76317235°C","90,35567642%","6,740983646","25,21609113",muskmelon
133.0,47.0,24,"200,0°C","79,19732001%","7,231324765","90,8022356",cotton
103.0,16.0,49,"24,06731461°C","81,64075303%","6,915717008","51,75212401",watermelon
61.0,38.0,20,"18,47891261°C","62,69503871%","5,970458434","65,43835393",maize
8.0,133.0,195,"20,46657776°C","80,97598029%","6,456079585","71,29813872",Grapes
23.0,7.0,34,"26,1055118°C","91,52421214%","5,852038202","134,1279669",coconut
83.0,22.0,54,"25,89762315°C","81,96664832%","6,277245254","54,49960057",watermelon
83.0,25.0,53,"26,49195283°C","80,04678201%","6,057697106","57,72799157",watermelon
30.0,137.0,200,"22,91430043°C","90,70475565%","5,603413172","118,6044645",apple
21.0,44.0,18,"27,06909959°C","86,89934108%","7,12851089","50,46746116",mungbean
48.0,61.0,21,"30,28496619°C","61,69295127%","6,628264883","65,62859526",blackgram
120.0,19.0,49,"25,79448878°C","84,26830701%","6,762471629","56,45229202",watermelon
115.0,31.0,30,"24,22984659°C","67,37768353%","6,840927967","122,4073418",coffee
19.0,123.0,200,"34,76086052°C","81,03544763%","6,167013532","65,70430027",grapes
116.0,81.0,55,"26,42313317°C","83,6995044%","5,915546415","95,12322062",banana
103.0,33.0,33,"26,71717393°C","50,50148528%","7,131435858","126,8073984",coffee
17.0,,23,"24,51324787°C","20,81527638%","5,670062975","64,19497947",kidneybeans
117.0,30.0,50,"24,90123934°C","87,20772913%","6,744966312","46,59207341",watermelon
102.0,24.0,54,"27,72338349°C","90,93897939%","6,698468621","22,81863447",muskmelon
29.0,142.0,203,"29,67229086°C","83,71498986%","5,891195653","66,48490371",grapes
64.0,35.0,23,"23,02038334°C","61,89472002%","5,680361038","63,03843397",maize
20.0,29.0,10,"29,07412717°C","93,27189064%","7,36549204","100,7896871",orange
117.0,43.0,25,"24,68854799°C","78,51206972%","7,839849298","69,31153566",cotton
40.0,55.0,18,"30,38257873°C","40,5926071%","7,115994051","47,95406479",mothbeans
3.0,60.0,19,"25,74679443°C","40,7192594%","4,820788186","100,7791633",pigeonpeas
24.0,131.0,196,"22,03296178°C","83,74372787%","5,732453638","65,34440794",grapes
14.0,59.0,22,"23,82723528°C","67,89815262%","6,76660668","46,90725077",lentil
90.0,44.0,38,"23,83509503°C","83,88387074%","7,473134377","241,2013513",rice
17.0,73.0,18,"19,50112224°C","34,51086611%","5,632353113","197,3752649",pigeonpeas
24.0,53.0,17,"28,95451232°C","89,07866095%","6,421271178","57,65901369",mungbean
113.0,20.0,48,"27,46583649°C","94,87679041%","6,440584681","27,27899847",muskmelon
39.0,132.0,196,"35,83089092°C","83,32560104%","5,778594403","73,67984885",Grapes
5.0,18.0,14,"33,1056981°C","93,48447453%","7,434118807","119,1709113",orange
90.0,46.0,42,"23,97898217°C","81,45061596%","7,50283396","250,0832336",rice
58.0,66.0,79,"-102,0°C","19,33470387%","8,718192847","93,55280105",chickpea
65.0,60.0,43,"21,97199397°C","81,89918197%","5,658169482","227,3637009",rice
84.0,39.0,35,"23,17714381°C","52,13864034%","6,959404135","117,3113562",coffee
17.0,64.0,17,"21,02213209°C","24,93896255%","5,662699104","124,6118471",kidneybeans
18.0,125.0,204,"22,35548159°C","94,47811755%","6,046673619","116,7366261",apple
116.0,38.0,34,"23,29250318°C","50,04557009%","6,020947179","183,468585",coffee
36.0,43.0,21,"28,36319404°C","84,8593608%","7,140437859","52,93031105",mungbean
37.0,30.0,34,"27,53907547°C","53,63549533%","6,797779227","99,35408185",mango
115.0,48.0,16,"25,54359718°C","84,09229796%","7,175934962","88,94245493",cotton
1.0,29.0,29,"27,32961444°C","49,30347234%","6,052026047","93,53197359",mango
23.0,70.0,15,"34,6008247°C","63,11296779%","7,403623355","60,41790253",blackgram
73.0,45.0,21,"24,60532218°C","73,58868502%","6,636803223","96,59195302",maize
32.0,55.0,51,"29,60718808°C","93,15642801%","6,57398033","62,68710535",papaya
34.0,34.0,35,"27,27433181°C","47,16808054%","6,422710539","95,257992",mango
35.0,125.0,204,"19,6491772°C","80,15215777%","6,107741788","73,69529586",Grapes
38.0,60.0,20,"29,84823072°C","60,63872613%","7,491217102","46,80452595",lentil
32.0,138.0,197,"9,535585543°C","80,73112694%","5,908724337","69,44115171",grapes
84.0,36.0,28,"26,7350622°C","55,55164819%","6,119892347","140,6305213",coffee
45.0,57.0,47,"23,16855863°C","90,78821158%","6,656458831","161,6892093",papaya
103.0,40.0,30,"27,30901814°C","55,196224%","6,348316257","141,4831644",coffee
15.0,14.0,8,"10,01081312°C","90,22399223%","6,22094286","119,3941064",orange
93.0,43.0,38,"23,61475336°C","86,14290267%","6,987332927","150,2355238",jute
99.0,92.0,47,"28,1279509°C","77,48247073%","6,323933647","103,5045395",banana
105.0,60.0,23,"23,53371386°C","77,21705554%","6,207652157","87,54004943",cotton
36.0,140.0,198,"23,34386401°C","91,47684705%","6,28188384","104,4267991",apple
22.0,17.0,26,"28,69818144°C","47,71875722%","4,754435025","99,642454",mango
27.0,80.0,24,"28,42062847°C","61,77336343%","7,815210661","49,02366803",lentil
57.0,60.0,84,"19,1034283°C","17,26184541%","6,586777189","75,49101167",chickpea
20.0,45.0,22,"29,5888162°C","89,9939693%","6,904587016","54,96121262",mungbean
99.0,55.0,35,"21,7238313°C","80,2389895%","6,501697816","277,9626192",rice
38.0,141.0,198,"13,05809741°C","80,28297993%","5,757009965","70,75633584",Grapes
29.0,138.0,197,"22,19055385°C","92,43764169%","5,830892252","121,6622761",apple
47.0,79.0,78,"17,48395377°C","14,76014523%","6,609696734","65,11365631",chickpea
52.0,51.0,53,"38,38231475°C","93,10378595%","6,985804083","210,2735346",papaya
13.0,61.0,24,"18,29783597°C","69,6897615%","7,629910253","49,39111479",lentil
81.0,6.0,55,"24,88910524°C","85,87059083%","6,110142735","51,70699144",watermelon
8.0,59.0,18,"29,50523036°C","35,72032498%","6,216814453","187,8961851",pigeonpeas
34.0,68.0,51,"27,34734861°C","94,17756725%","6,687088098","40,35153141",papaya
20.0,129.0,201,"23,41044706°C","91,69913296%","5,587905967","116,0777931",apple
38.0,14.0,37,"21,80523051°C","94,63612858%","6,658402594","102,6488846",pomegranate
74.0,49.0,38,"23,31410442°C","71,4509053%","7,488014404","164,4970373",jute
82.0,77.0,46,"28,9470467°C","82,1888998%","5,901100841","95,83016448",banana
31.0,55.0,22,"22,91350245°C","21,33953114%","5,873171894","109,225556",kidneybeans
38.0,36.0,21,"28,02952623°C","84,8845732%","6,556372966","36,12042927",mungbean
33.0,138.0,198,"22,29423493°C","90,69033986%","6,222390798","122,7418744",apple
107.0,31.0,31,"23,17124551°C","52,97841162%","6,766184468","153,1201644",coffee
20.0,79.0,77,"18,54988627°C","16,02542689%","7,64867466","76,32565249",chickpea
18.0,30.0,29,"26,7627493°C","92,86056895%","6,420018717","224,5903664",coconut
31.0,51.0,25,"27,53592929°C","85,5701901%","7,196774236","53,01899249",mungbean
111.0,53.0,19,"23,96436009°C","78,02763149%","6,419536555","84,63148859",cotton
49.0,55.0,53,"38,4418717°C","93,63739039%","6,544029776","77,71566883",papaya
40.0,27.0,45,"21,6602498°C","94,79397419%","5,885638185","112,4349689",pomegranate
88.0,55.0,45,"24,63544858°C","80,41363018%","7,730367824","253,7202781",rice
25.0,51.0,18,"27,77799528°C","54,82130787%","9,45949344","50,28438729",mothbeans
36.0,57.0,16,"28,61409059°C","57,14218792%","8,292875734","57,02891698",mothbeans
27.0,56.0,20,"29,2114218°C","87,11497805%","6,41874299","51,53848218",mungbean
40.0,143.0,201,"24,97256132°C","82,72828653%","6,476757723","66,70016285",grapes
13.0,61.0,22,"19,44084326°C","63,27771461%","7,728832424","46,83130119",lentil
62.0,59.0,41,"24,2248758°C","74,89465426%","7,175170657","192,4931257",jute
16.0,71.0,24,"18,33124824°C","38,40975482%","4,946369874","139,6483317",pigeonpeas
86.0,40.0,39,"25,72100868°C","88,16513579%","6,207459637","175,6086697",jute
20.0,23.0,11,"31,8520694°C","90,12220323%","6,407715561","109,9455062",orange
90.0,42.0,43,"20,87974371°C","82,00274423%","6,502985292","202,9355362",rice
33.0,29.0,34,"31,40948821°C","49,21729127%","6,832979509","92,99739415",mango
20.0,122.0,204,"11,7976469°C","80,86325389%","6,487369687","65,06962486",Grapes
32.0,68.0,19,"24,62835037°C","18,18325169%","5,514234138","149,7441028",kidneybeans
101.0,17.0,55,"24,37118217°C","87,1269128%","6,451499764","44,63907691",watermelon
0.0,123.0,205,"22,02775403°C","92,96129462%","5,790993052","121,1349176",apple
74.0,39.0,23,"22,6265115°C","65,77472881%","6,78073637","88,17251033",maize
23.0,39.0,22,"29,25649321°C","81,97952224%","6,86483915","42,02483277",mungbean
27.0,43.0,23,"31,70447482°C","56,85420099%","5,875333778","44,94317432",mothbeans
6.0,36.0,22,"24,21610338°C","59,79236306%","8,869532817","42,24783476",mothbeans
39.0,138.0,203,"21,19339319°C","82,33098331%","6,399433771","74,62834921",grapes
108.0,36.0,19,"22,78249615°C","77,51235009%","7,238566893","64,61444234",cotton
24.0,67.0,22,"20,120043°C","22,89845607%","5,618844277","104,6252153",kidneybeans
18.0,23.0,8,"21,49118657°C","93,43949693%","6,41354791","101,4819888",orange
63.0,58.0,22,"18,25405352°C","55,28220433%","6,204747653","63,72358154",maize
25.0,22.0,25,"33,56150184°C","45,53556603%","5,977413803","95,70525913",mango
23.0,59.0,19,"21,98560799°C","24,87304788%","5,852046999","129,5650601",kidneybeans
114.0,40.0,23,"25,53676123°C","81,13668716%","6,753978061","95,4262599",cotton
36.0,61.0,21,"34,53823889°C","39,04468913%","5,617008201","168,5948318",pigeonpeas
115.0,12.0,52,"27,51492243°C","94,96218673%","6,685553129","21,01796432",muskmelon
73.0,57.0,41,"21,44653958°C","84,94375962%","5,824709117","272,2017204",rice
97.0,29.0,27,"27,74576987°C","54,36976075%","7,205078785","139,8619431",coffee
31.0,30.0,29,"26,58580443°C","90,98617591%","5,558807063","178,8116076",coconut
98.0,8.0,51,"26,1793464°C","86,52258079%","6,25933595","49,43050977",watermelon
38.0,55.0,19,"33,18184225°C","38,23184742%","5,864623352","198,8298806",pigeonpeas
105.0,30.0,50,"25,29954705°C","81,77527562%","6,37620108","57,04147057",watermelon
89.0,58.0,35,"23,98651719°C","82,09053379%","6,096838784","167,0576456",jute
23.0,5.0,44,"21,20725375°C","94,26304717%","7,16300467","107,5660804",pomegranate
120.0,23.0,28,"25,67324193°C","51,29043632%","6,877799264","196,2736367",coffee
35.0,63.0,76,"17,81564548°C","17,60756635%","7,714153038","90,82097601",chickpea
26.0,65.0,22,"17,84806561°C","18,77621951%","5,949949081","143,0984171",kidneybeans
61.0,60.0,15,"24,87502824°C","68,74248334%","6,265564338","91,26056654",maize
14.0,18.0,35,"31,09154239°C","47,02058367%","4,791146778","91,46664318",mango
35.0,128.0,205,"21,07273439°C","93,56585985%","6,041053829","107,8737015",apple
131.0,52.0,16,"23,65724079°C","84,47601498%","6,486068274","88,54479121",cotton
117.0,79.0,49,"25,40909896°C","82,36208097%","6,176644228","112,9794804",banana
82.0,18.0,48,"29,09588297°C","94,16748386%","6,159050816","26,70581328",muskmelon
21.0,74.0,15,"29,49096726°C","67,10604388%","6,471862118","153,2504506",pigeonpeas
